1998.11	S.E.S.	너를 사랑해	S.E.S. 2	댄스	최수정	최수정	너를 사랑해 나의 마음이 Oh 너를 생각할 수록 나는 행복해 다른 누구도 난 부럽지 않아 맑은 유리창으로 햇살이 나를 반기는 이 느낌 믿을 수가 없어져 oh yeah 너무도 내게 소중함을 느낄수 있도록 해준 너 긴 밤이 오래될 수록 아침이 더디올 수록 그리워 우리 둘이 영원히 함께 같은 공간 속에 아픔이 많더라도 괜찮아 yeah 너를 사랑해 나의 마음이 oh 너를 생각할수록 나는 행복해 다른 누구도 난 부럽지 않아 Beautiful day 이제껏 느껴보지 못한 저 가슴속 깊은 곳에서 두근대는 내 심장을 느껴 너무나 아름다운 햇살과 내 마음속에 따뜻함을 준 너 아름다운 너의 모습 바라볼때면 언제나 너 보며 살아가고 싶고 나 너무나 잘 아는 그런 너와 있을때면 평생을 너와 함께 지내고 싶어 오렌지의 향기로 살며시 미소지을 땐 너의 웃음이 모든 걸 다 잊게해 oh yeah 사랑해 지금 기적보다 놀라운 날들이 온거야 나에겐 지금 너보다 너에겐 지금 나보다 소중한 다른 사람 없다면 함께 영원히 같은 집에 서로 얼굴을 보며 살아가 yeah 너를 사랑해 나의 마음이 oh 너를 생각할수록 나는 행복해 다른 누구도 난 부럽지 않아 가슴을 적시는 아름다운 음악속에 흐르는 저 시원한 빗방울처럼 넌 언제나 내게 그런 힘이 돼주고는 하지 마음이 불편하고 기분이 허전할때 넌 내 마음 저 깊은 구석 시원하게 해주네 그런 너는 나에게 누구보다 그 어느 누구보다 소중해 그런 너와 영원히 함께살고 싶어 너를 사랑해 나의 마음이 oh 너를 생각할수록 나는 행복해 다른 누구도 난 부럽지 않아 너와나 행복한 시간만 남은거야 가끔가다 우리 싸울때도 있겠지만 우리 언제나 즐거울 수 있을 거야 서로를 사랑하고 있으니 yeah
2001.07.11	S.E.S.	꿈을 모아서 (Just In Love)	Surprise	댄스	Shimano Momoe	S.E.S.	그대에게 줄게요 나의 모든 사랑을 세상에서 오직 하나뿐인 당신을 위해서 당신에게 줄게요 우리 헤어져 있어도 아름다운 미소로 다가오는 매일을 오래도록 기다려왔었던 사랑은 따뜻한 바람 타고 잠에서 깬 나무들 속에서 순결한 꽃잎처럼 빛나고 이제 태어나는 구름 이제 피어나는 꿈들이 메말랐던 이 세상에 아름다운 색으로 내리고 있는걸 당신과 걸어가요 꿈을 모두 모아서 저 하늘 속으로 내 마음 모두 담아둘게요 당신과 걸어가면 보이지 않던 미래도 너무 밝게 우리를 비춰주기 때문에 기다림을 모르는 사람들은 세상에 모두 등을 돌리지만 무너져 버릴 것 같은 추억 모두의 작은 두 손 가득히 내가 간직해온 시절 그땐 무얼 사랑했었나 기억나요 두려움에 아무것도 나는 믿을 수 없었지만 그대에게 줄게요 나의 모든 사랑을 세상에서 오직 하나뿐인 당신을 위해서 당신에게 줄게요 우리 헤어져 있어도 아름다운 미소로 다가오는 매일을 눈물이 왜 흐를까요 태양이 저무는 곳에서 저 석양이 질 때까지 그 빛이 모두 사라져 버릴 때까지 당신과 걸어가요 꿈을 모두 모아서 저 하늘 속으로 내 마음 모두 담아둘게요 당신과 걸어가면 보이지 않던 미래도 너무 밝게 우리를 비춰주기 때문에
1998.11	S.E.S.	Dreams Come True	S.E.S. 2	댄스	NULL	NULL	내가 원하는 대로 자신 있는 모습 그대로 이제껏 숨겨 왔던 비밀을 네게 모두 말하고 싶어 baby Funny how all dreams come true 나를 지켜줄거야 아껴왔던 작은 사랑도 Funny how I feel for you 너의 곁에 그려질 꿈결같은 나의 미래도 처음 느낌 그대로 짜릿했던 느낌 그대로 서로가 약속했던 것처럼 같은 생각 갖고 있었지 baby Funny how all dreams come true 나를 지켜줄꺼야 아껴왔던 작은 사랑도 Funny how I feel for you 너 하나만 사랑해 Come on lover 언제나 둘이 함께 네가 있는 나 행복할 거에요 더 이상 슬픈 노래는 듣지 않을 거예요 내 맘을 알겠죠 Dreams come true 나를 지켜줄거야 아껴왔던 작은 사랑도 Funny how I feel for you 너의 곁에 그려질 꿈결같은 나의 미래도
1997.11.01	S.E.S.	(`Cause) I`m Your Girl	S.E.S.	댄스	유영진	유영진	Yeah what's up what's up SES We open up the new chapter of funky New jill swing Here we come Here we come come on I like SES ya'll Yes SES ya'll we like SES ya'll Yes SES ya'll You never don't stop you never don't quit Kick out some sounds of the Hip hop bear Now dap your hands everybody Now move your feet every body to the left to the left to the right to the right now bring it back fat rhythm of the free style 왜 내게 말을 못해 이미 지나간 일들 진부한 옛 사랑 얘기 I love you tell me baby 솔직히 말을 해줘 그렇지만 너에겐 오직 나뿐인 거야 oh yeah 두려워 하지마 내 곁에 있는걸 그대와 내 인생 저 끝까지 나를 믿어주길 바래 함께있어 Cause I'm your girl Hold me baby 너를 닮아가는 내 모습을 지켜봐줘 stay with me last forever yeah 넌 왠지 달랐었지 느낌이 예전부터 알고 지낸 친구처럼 shake it shake it baby 그렇게 너는 내게 해맑은 웃음만을 주는 또 하나의 나 두려워 하지마 네 옆에 있는걸 난 오직 너를 위해 살고 싶어 나를 향한 네 모든걸 간직할께 Cause I'm your girl Hold me baby 너를 닮아가는 내 모습 지켜봐줘 Stay with me last forever 몰랐어 난 나 너에게 있어 그 어느 하나 자신있게 얘기할 수 없었던 것 모두 부질없는 내 걱정이었다니 이제 널 나의 품에 꼭 안아줄게 난 널 몰랐던거야 오직 너 하나 하나를 위해 내가 살아가야 한다는 것말고 내게 중요한 게 어딨겠어 이젠 네가 알아주길 바랬어 너에겐 그 어떤 말보다 넌 내꺼라는 말이 듣고 싶어 사랑해 언제까지나 baby you always in my heart 나를 믿어주길 바래 함께있어 Cause I'm your girl Hold me baby 너를 닮아가는 내 모습 지켜봐줘 Stay with me last forever yeah 나를 향한 네 모든걸 간직할께 Cause I'm your girl Hold me baby 너를 닮아가는 내 모습 지켜봐줘 Stay with me last forever yeah
2002.02.15	S.E.S.	달리기	Choose My Life-U	댄스	윤상	박창학	지겨운가요 힘든가요 숨이 턱까지 찼나요 할수없죠 어차피 시작해 버린것을 쏟아지는 햇살속에 입이 바싹 말라와도 할수없죠 창피하게 멈춰설순 없으니 단 한가지 약속은 틀림없이 끝이 있다는 것 끝난뒤에 지겨울 만큼 오랫동안 쉴수 있다는 것 지겨운가요 힘든가요 숨이 턱까지 찼나요 할수없죠 어차피 시작해 버린것을 쏟아지는 햇살속에 입이 바싹 말라와도 할수없죠 창피하게 멈춰설순 없으니 이유도 없이 가끔은 눈물나게 억울하겠죠 일등 아닌 보통들에게 박수조차 남의 일인 걸 단 한가지 약속은 틀림없이 끝이 있다는 것 끝난뒤에 지겨울만큼 오랫동안 쉴수 있다는 것 It's good enough for me bye bye bye bye It's good enough for me bye bye bye bye It's good enough for me bye bye bye bye It's good enough for me bye bye bye bye
2001.05	S.E.S.	I`m Your Girl	SM Best Album 2	댄스	유영진	유영진	Yaeh What's up What's up S E S We open up the new chapters of funky new jill swing Here we come Here we come Uh Uh Come on I like SES ya'll yes SES ya'll We like SES ya'll yes SES ya'll You never don't stop You never don't quit Kick out some sounds of hip hop bear Now clap your hands Every body Now move your feet Every body To the left to the left To the right to the right Now bring it back fat rhythm of the free style 왜 내게 말을 못해 이미 지나간 일들 진부한 옛 사랑 얘기 I love you tell me baby 솔직히 말을 해줘 그렇지만 너에겐 오직 나 뿐인거야 oh yeah 두려워 하지마 내 곁에 있는 걸 그대와 내 인생 저 끝까지 나를 믿어주길 바래 함께 있어 Cause I'm your girl hold me baby 너를 닮아가는 내 모습 지켜봐줘 Stay with me last forever 넌 왠지 달랐었지 느낌이 예전부터 알고 지낸 친구처럼 shake it shake it baby 그렇게 너는 내게 해맑은 웃음만을 주는 또 하나의 나 oh yeah 두려워 하지마 내 옆에 있는 걸 난 오직 너를 위해 살고 싶어 나를 향한 네 모든걸 간직할게 Cause I'm your girl hold me baby 너를 닮아가는 내 모습 지켜봐줘 Stay with me last forever Get him up get him up 몰랐어 난 난 너에게 있어 그 어느 하나 자신있게 얘기할 수 없었던 건 모두 부질없는 내 걱정이었다니 이젠 널 나의 품에 꼭 안아줄게 난 참 널 몰랐던거야 오직 너 하나 하나를 위해 내가 살아가야 한다는 것 말고 내게 중요한게 어디 있겠어 이젠 네가 알아주길 바라겠어 너에겐 그 어떤 말보다 넌 내꺼란 말이 듣고 싶어 사랑해 언제까지나 Baby you always in my heart 나를 믿어주길 바래 함께 있어 Cause I'm your girl hold me baby 너를 닮아가는 내 모습 지켜봐줘 Stay with me last forever 나를 향한 네 모든걸 간직할게 Cause I'm your girl hold me baby 너를 닮아가는 내 모습 지켜봐줘 Stay with me last forever yeah
2002.02.15	S.E.S.	Just A Feeling	Choose My Life-U	댄스	김도훈	전승우	Just a feeling 느낀 그대로 말해 Think about it 주저하지마 Just be waiting 이젠 준비가 됐어 너를 내게 줘 내가 갖겠어 ... 처음부터 다 날 보여 줄순 없지 신비스런 분위기로 Oh yeah~ 호기심을 자극하는 것도 괜찮아 궁금해 미칠 것만큼 결국 너는 내게 오게 될 거야 원한다면 내길 걸어도 좋아 한 걸음 씩 조금 더 네게로 다가가 널 차지하고 말거야 Just a feeling 느낀 그대로 말해 Think about it 주저하지마 Just be waiting 이젠 준비가 됐어 너를 내게 줘 내가 갖겠어 ... 딴 사람과 다정한 내모습을 살며시 보여 줄 거야 Oh yeah~ 그에게는 조금 미안한 일이지만 널 갖기 위해서니까 어쩔 줄을 몰라하는 니 표정 어쩜 그리 숨기지를 못하니 느낄 수가 있었어 내 곁의 그 사람 쳐다보는 니 시선 Just a feeling 느낀 그대로 말해 Think about it 주저하지마 Just be waiting 이젠 준비가 됐어 너를 내게 줘 내가 갖겠어 ... Just a feeling That''s what I can show you Think about it 기다리고 있어 Just a feeling That''s what I can show you Think about it 기다리고 있어 Just a feeling Think about it 이런 나도 맘이 편한게 아냐 혹시라도 니가 돌아설 까봐 그만 내게 말해 줘 나를 사랑한다고 기다리고 있잖아 Just a feeling 느낀 그대로 말해 Think about it 주저하지마 Just be waiting 이젠 준비가 됐어 너를 내게 줘 내가 갖겠어 ... Just a Feeling 느낀 그대로 말해 Think about it 주저하지마 Just be waiting 이젠 준비가 됐어 너를 내게 줘 내가 갖겠어(너를 내게 줘) Just a feeling That''s what I can show you Think about it 기다리고 있어 Just a feeling That''s what I can show you Think about it 기다리고 있어 Just a feeling
1997.11.01	S.E.S.	Oh, My Love	S.E.S.	댄스	문스톤	문스톤	Oh My love Oh My love Oh My love 네게 I just wanna be the one for you Oh My love Oh My love 네게 너를 만난 이후로 나의 모든것이 달라졌어 내 수첩에 적힌 다른 이름들도 깨끗히 지웠지 너를 만난 그 순간부터 레몬빛 향기로 나의 사랑을 눈 뜨게 한 너 그냥 내게 이렇게 있어주면 다른 연인들이 부럽지 않을꺼야 사랑이라고 말 안해도 느낄 수 있어 내 입술에 너의 입술이 닿을때 너를 기다리던 시간도 외롭진 않아 처음부터 난 사랑에 빠졌나 봐 그대와 단둘이 우 그대와 단둘이 Oh My love Oh My love Oh My love 네게 I just wanna be the one for you Oh My love Oh My love 네게 너를 만나기 위해 우린 수많은 연습을 했고 서툰 이별속에 너와 난 만났지 그 날 이후부터 나는 다시 태어 난거야 시간이 흐르고 우리 같은 집에서 사는날 나의 꿈을 이루는 그 날까지 영원히 내 곁에 내 맘을 떠나지마 사랑이라고 말 안해도 느낄 수 있어 내 입술에 너의 입술이 닿을때 너를 기다리던 시간도 외롭진 않아 처음부터 난 사랑에 빠졌나 봐 그대와 단둘이 우 그대와 단둘이 Oh My love Oh My love Oh My love 네게 I just wanna be the one for you Oh My love Oh My love 네게
2002.12.13	S.E.S.	Just A Feeling	Unforgettable	댄스	김도훈 (RBW)	전승우	Just a Feeling 느낀 그대로 말해 Think a about it 주저하지마 Just be waiting 이젠 준비가 됐어 너를 내게 줘 내가 갖겠어 첨부터 다 날 보여 줄 순 없지 신비스런 분위기로 Oh yeah 호기심을 자극하는 것도 괜찮아 궁금해 미칠 것만큼 결국 너는 내게 오게 될 거야 원한다면 내길 걸어도 좋아 한 걸음씩 조금 더 네게로 다가가 널 차지하고 말 거야 Just a Feeling 느낀 그대로 말해 Think a about it 주저하지마 Just be waiting 이젠 준비가 됐어 너를 내게 줘 내가 갖겠어 딴 사람과 다정한 내 모습을 살며시 보여줄거야 Oh yeah 그에게는 조금 미안한 일이지만 널 갖기 위해서니까 어쩔줄을 몰라 하는 니 표정 어쩜 그리 숨기지를 못하니 느낄 수가 있었어 내 곁의 그 사람 쳐다보는 니 시선 Just a Feeling 느낀 그대로 말해 Think a about it 주저하지마 Just be waiting 이젠 준비가 됐어 너를 내게 줘 내가 갖겠어 Just a Feeling That's what I can show you Think about it 기다리고 있어 Just a Feeling That's what I can show you Think about it 기다리고 있어 Just a Feeling Think about it 이런 나도 맘이 편한게 아냐 혹시라도 니가 돌아설 까봐 그만 내게 말해 줘 나를 사랑한다고 기다리고 있잖아 Just a Feeling 느낀 그대로 말해 Think a about it 주저하지마 Just be waiting 이젠 준비가 됐어 너를 내게 줘 내가 갖겠어 Just a Feeling 느낀 그대로 말해 Think a about it 주저하지마 Just be waiting 이젠 준비가 됐어 너를 내게 줘 내가 갖겠어 Just a Feeling That's what I can show you Think about it 기다리고 있어 Just a Feeling That's what I can show you Think about it 기다리고 있어 Just a Feeling
2000.12.26	S.E.S.	감싸 안으며 (Show Me Your Love)	A Letter From Green Land	댄스	Satoshi Shimano	Satoshi Shimano	비 개인 거리를 나 홀로 우산을 쓰고 걸어갔어 수면위로 비치는 내 모습 마치 작은 어린 아이처럼 언제부턴가 어른인 척 하려던 매일 매일에 익숙해져 버린 나 그저 순수하게 서로를 느낄 수 있게 멀리하며 방황하며 그렇게 거듭돼 가는걸 연인이라고 부를 수 있는 영원한 시간 속에 우리 둘만의 특별한 얘길 함께 나누어 봐요 꿈에게는 꽃 꽃잎엔 바람 당신에겐 사랑을 그리고 고독마저 모두 감싸 안듯이 지난 날 손 걸고 맹세한 잊지 못할 약속까지 난 지금도 가슴 깊은 곳에 따뜻한 마음 간직하고 싶어 어느 샌가 어른들의 사랑에 나를 감추고 지쳐있는 내 모습 만난 순간마다 이별은 찾아오는 것 생각하면 두려움에 끊임없이 도망가는 걸 연인이라고 부를수 있는 세대와 시간 속에 특별한 운명 우리에게는 몇 번이나 올까 시간에 날개 하늘은 향해 나에게는 용기를 그리고 이 생명을 모두 느낄 수 있도록 내일이 다 보이지 않아 두려워져 혼자 견딜수 없어 목이 메도록 내 마음은 애타지만 소리도 없이 아침이 오고 오늘이 다시 시작돼요 그대를 지키고 싶어 연인이라고 부를 수 있는 영원한 시간 속에 우리둘만의 특별한 얘길 함께 나누어봐요 꿈에게는 꽃 꽃잎엔 바람 당신에게 사랑을 그리고 또 내일을 모두 감싸 안으며
