artist	title	genre
현아	Change	댄스
포미닛	Dreams Come True	댄스
지연	또르르	발라드
씨야, 다비치, 티아라	원더우먼	댄스
제국의아이들	Mazeltov	댄스
2PM	Tik Tok	댄스
카라	별을 따다줘	댄스
씨엔블루	외톨이야	록/메탈
럼블피쉬	남잔 다 그래	발라드
포맨	못해 (Feat. 美)	발라드
정아	귀여운 넌	발라드
이승기	사랑이 술을 가르쳐	발라드
2AM	죽어도 못 보내	발라드
2AM	웃어 줄 수 없어서 미안하다	발라드
2AM	I Love You	발라드
2AM	그녀에게 (Feat. 찬성 Of 2PM)	댄스
f(x)	날개를 펴고	발라드
트랙스	가슴이 차가운 남자 (Let You Go)	발라드, 록/메탈
대성	솜사탕	발라드
소녀시대	Oh!	댄스
소녀시대	별별별	발라드
소녀시대	Show! Show! Show!	댄스
소녀시대	영원히 너와 꿈꾸고 싶다 (Forever)	발라드
소녀시대	화성인 바이러스	댄스
소녀시대	카라멜 커피 (Talk To Me)	발라드
소녀시대	웃자 (Be Happy)	댄스
소녀시대	무조건 해피엔딩 (Stick Wit U)	댄스
소녀시대	좋은 일만 생각하기 (Day by Day)	댄스
유키스	빙글빙글	댄스
민경훈	아프니까 사랑이죠	발라드
민경훈	똑같은 이별은 없다	발라드
민경훈	삭제되었습니다.	발라드
케이윌	사랑까진 안돼요	발라드
2NE1	날 따라 해봐요	댄스
카라	루팡 (Lupin)	댄스
카라	Umbrella	댄스
빅뱅	Lollipop Pt.2	댄스
티아라	너 때문에 미쳐	댄스
티아라	내가 너무 아파	댄스
엠블랙	그대 내 맘에 들어오면은	댄스
비스트	Shock	댄스
비스트	내 여자친구를 부탁해	댄스
디셈버	배운게 사랑이라	발라드
케이윌	선물 (Feat.은지원)	발라드
2AM	잘못했어	댄스
f(x)	Thrill Love	댄스
슈프림팀	Step Up	랩/힙합
슈프림팀	너 하나면 돼	랩/힙합
소녀시대	Run Devil Run	댄스
은지원	술김에…	댄스
애프터스쿨	뱅(Bang)!	댄스
브라운 아이드 소울	비켜줄께	발라드
브라운 아이드 소울	Blowin My Mind	발라드
제국의아이들	하루종일 (Original Ver.)	댄스
