release	artist	title	genre	lyric	thema
19920000	잼	난 멈추지 않는다	댄스	이제 모든걸 다시 시작해 내겐 아직도 시간이 있어 때론 상처가 좌절로 남아 돌이킬수 없는 후회도 하고 그러나 우리 잊어선 안돼 지금의 나는 내가 아닌걸 신문에 실려온 얘기들 헝클어진 우리들을 탓할순 없어 이제 모든걸 다시 시작해 이렇게 여기서 끝낼순 없어 내겐 아직도 시간이 있어 지금 이렇게 지금 멈출수는 없어 신문에 실려온 얘기들 헝클어진 우리들을 탓할순 없어 이제 모든걸 다시 시작해 이렇게 여기서 끝낼순 없어 내겐 아직도 시간이 있어 지금 이렇게 지금 나는 여기서 멈출순 없어 이제 모든걸 다시 시작해 나는 여기서 멈출순 없어 이제 모든걸 다시 시작해	['어두운', '신나는']
19920000	잼	우리 모두 사랑하자	댄스	워 우리 모두 사랑하자 우리의 젊은날을 위하여 우리 모두 춤을 추자 가벼운 인스텝 속에 그대와 함께 춤을 아무렇게나 옷을 입고 거리를 걷다보면은 스쳐가는 사람들속에 시선도 받지만 나름대로의 연출속에 자신감도 갖고 있고 그것이 어떤 것이든 우리 맘대로 오늘을 얘기하자 워 우리 모두 사랑하자 우리의 젊은날을 위하여 우리 모두 춤을 추자 가벼운 인스텝 속에 그대와 함께 춤을 댄스뮤직을 좋아하고 자동차도 좋아하고 이번에 새로 나온 청바지도 좋지만 지금 당장 내겐 이런 걸 재밌있게 떠들면서 얘기할 나의 진실한 그런 사랑도 친구도 여기 없어 워 우리 모두 사랑하자 우리의 젊은 날을 위하여 우리 모두 춤을 추자 가벼운 인스텝 속에 그대와 함께 춤을 솔직하게 말을 해봐 괜찮으니까 사랑한다 말하는게 뭐 힘들어요 아무것도 꾸밈없는 진실한 얘기로 더 늦기전에 우리 모두 사랑하자 워 우리 모두 사랑하자 우리의 젊은날을 위하여 우리 모두 춤을 추자 가벼운 인스텝 속에 그대와 함께 우리 모두 사랑하자 우리의 젊은날을 위하여 우리 모두 춤을 추자 가벼운 인스텝 속에 그대와 함께	['추임새많은', '설레는', '원하는', '신나는']
19920000	잼	이유	발라드	어둠은 드리워지고 이제는 우리들만의 시간이 지친듯이 내 가슴속에 밀려와 나를 재우고 헝클어진 너의 긴머리 향긋한 향기에 잠시 취해서 모든것 잊어버린채 어둠의 끝으로 떠났지 얼마나 시간이 흘렀을까 흐려진 너의 눈이 애처로와 보여 이유없이 사랑한다 말하면 그대 나를 이해할수 있을까 한동안 아무말 없이 그대는 흩어진 나를 보면서 머뭇거리다 그냥 울고 말았어 헝클어진 너의 긴머리 향긋한 향기에 잠시 취해서 모든것 잊어버린채 어둠의 끝으로 떠났지 얼마나 시간이 흘렀을까 흐려진 너의 눈이 애처로와 보여 이유없이 사랑한다 말하면 그대 나를 이해할수 있을까 한동안 아무말 없이 그대는 흩어진 나를 보면서 머뭇거리다 그냥 울고 말았어	['어두운', '신나는']
19920000	잼	18번가의 비밀	댄스	끝없는 어둠 속을 천천히 걷고 있어 어디서 본 듯한 야릇한 느낌이야 거리는 비에 젖어 싸늘함 더 해지고 바람은 얼어버린 내 어깨를 스쳐가네 ZAM 예 ZAM 저 멀리 다가오는 두 그림자의 모습 아무런 표정없이 내 앞을 스쳐지나 또 다른 어둠으로 조용히 사라지자 갑자기 들려오는 여자의 비명소리 ZAM 예 ZAM 어떡해야 하나 그건 나와 아무 상관 없는 일이야 어떡해야 하나 돌아보지 말아 어쨌든 이 거리를 벗어나야만 했어 무작정 어디든지 가야만 했었지 또 다시 다가오는 적막한 느낌속에 뒤돌아 바라보니 나를 보는 두 그림자 ZAM 예 ZAM 어떡해야 하나 나는 지금 위험에 빠진듯한데 어떡해야 하나 대답할 수 없어 어떡해야 하나 그건 나와 아무 상관없는 일이야 어떡해야 하나 돌아보지 말아 어떡해야 하나 나는 지금 위험에 빠진듯한데 어떡해야 하나 대답할 수 없어 어떡해야 하나 그건 나와 아무 상관없는 일이야 어떡해야 하나 돌아보지 말아	['원하는']
19920000	잼	요즘 친구들	댄스	요즘 친구들은 흥 정말 진정한 친구가 뭔지 잘 몰라 말로만 떠들고 자기들이 다만 그게 다인줄만 알겠지 겉으로만 생각해 주는지 좋은말만 얘기하는 친구 자유롭게 날고 싶다면서 어디론가 사라지는 친구 모두가 아무 생각도 없이 그저 자기 위주로만 해석하고 스스로 자신이 특별하다고 우 생각 하네 그려 적어도 우린 친구라면 다같이 다같이 생각해보자 우리에게 얼마나 많은것을 바라고 원하는지 그저 친구라는 이유만으로 또 우린 얼마나 변해왔을까 진정한 친구란 지금의 우리 그 모습은 결코 결코 아닐거야 바쁘다고 투덜대면서도 전화하면 잠만 자는 친구 큰 소리로 한턱 낸다면서 계산할땐 없어지는 친구 모두가 그런 생활 속에서 자기 자신도 모르게 변해가고 또 우린 모든 것을 당연하게 우 생각 하네 모두가 그런 생활 속에서 자기 자신도 모르게 변해가고 또 우린 모든 것을 당연하게 우 생각 하네 겉으로는 위로 하면서도 뒤돌아선 미소 짓는 친구 우리들은 이런 현실속에 친구들을 잃어가고 있어	['어두운', '설레는', '원하는']
19920000	잼	싫증	댄스	처음엔 나도 모든게 따뜻하게 느껴지고 만날때 마다 새롭게 그대를 난 느껴왔지만 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 우산을 툴툴 털면서 카페에 들어 설때 날마다 똑같은 표정을 내게 보이네 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 아하 오늘처럼 비가 내리는 날도 그대는 내맘을 몰라주고 이렇게 앉아있네 그렇다고 내가 너에게 무슨 말을하겠니 사랑한단 말도 이제는 모두 모두 잊을래 여느때와 같이 너에게 웃어 줄 수는 없어 지금 나도 내가 너에게 뭐라고 하는지 몰라 솔직히 말하자며 이제는 싫증이 난거야 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 슈비 두비답 아하 오늘처럼 비가 내리는 날도 그대는 내맘을 몰라주고 이렇게 앉아있네 그렇다고 내가 너에게 무슨 말을하겠니 사랑한단 말도 이제는 모두 모두 잊을래 여느때와 같이 너에게 웃어 줄 수는 없어 지금 나도 내가 너에게 뭐라고 하는지 몰라 그렇다고 내가 너에게 무슨 말을하겠니 사랑한단 말도 이제는 모두 모두 잊을래 여느때와 같이 너에게 웃어 줄 수는 없어 지금 나도 내가 너에게 뭐라고 하는지 몰라 그렇다고 내가 너에게 무슨 말을하겠니 사랑한단 말도 이제는 모두 모두 잊을래 여느때와 같이 너에게 웃어 줄 수는 없어	['원하는', '신나는']
19920323	서태지와 아이들	난 알아요	댄스	난 알아요 이밤이 흐르고 흐르면 누군가가 나를 떠나 버려야 한다는 그 사실을 그 이유를 이제는 나도 알 수가 알 수가 있어요 사랑을 한다는 말을 못했어 어쨌거나 지금은 너무 늦어 버렸어 그때 나는 무얼하고 있었나 그 미소는 너무 아름다웠어 난 정말 그대 그대만을 좋아했어 나에게 이런 슬픔 안겨주는 그대여 제발 이별만은 말하지 말아요 나에겐 오직 그대만이 전부였잖아 오 그대여 가지마세요 나를 정말 떠나 가나요 오 그대여 가지마세요 나는 지금 울잖아요 난 알아요 이밤이 흐르면 요 그대 떠나는 모습 뒤로하고 마지막 키스에 슬픈 마음 정말 떠나는가 사랑을 하고싶어 너의 모든 향기 나의 몸속에 젖어있는 너의 많은 숨결 그 미소 그눈물 그 알 수 없는 마음에 마음 그리곤 또 마음에 마음 그 어렵다는 편지는 쓰지 않아도 돼 너의 진실한 모습을 바라보고 있어요 아직도 마음속엔 내가 있나요 나는 그대의 영원한 난 정말 그대 그대만을 좋아했어 나에게 이런 슬픔 안겨주는 그대여 오 그대여 가지마세요 나를 정말 떠나 가나요 오 그대여 가지마세요 나는 지금 울잖아요 오 그대여 가지마세요 나를 정말 떠나 가나요 오 그대여 가지마세요 나는 지금 울잖아요	['pop', '원하는', '신나는']
19920323	서태지와 아이들	이밤이 깊어가지만	발라드	옛 생각에 까페문을 열고 지난 추억을 기억하려 했지 부드러운 음악 소리 마져 내 마음을 아프게 해 비 마저 내린 그날을 생각하네 내 욕심과 자만에 슬픈 너의 표정 텅빈 까페에 홀로 기대어 나도 모르는 눈물을 흘리네 난 두 눈을 꼭 감고 있지만 너의 모습이 있을 뿐 이 밤이 깊어 가지만 지금 전화를 걸어 너를 볼 수 있을까 두려워 넌 지금도 울고 있을거야 이슬비처럼 여린 너의 마음 그대 제발 슬퍼하지 말아요 너의 마음을 알아요 비 마저 내린 그날을 생각하네 내 욕심과 자만에 슬픈 너의 표정 허전한 마음을 감추며 비 내리는 이 밤을 걸어가네 내가 본 창백한 그 얼굴 그것이 마지막일까 이 밤이 깊어 가지만 지금 전화를 걸어 너를 볼 수 있을까 다시 만나고 싶어 이 밤이 깊어 가지만 지금 전화를 걸어 너를 볼 수 있을까 두려워	['원하는', '신나는']
19920323	서태지와 아이들	너와 함께한 시간속에서	발라드	너와 함께한 시간속에서 너를 처음 만난 그때를 자세하게 말해 줄수는 없지만 무엇인가 정말 따뜻하고 너무 포근해서 좋은 그런 느낌이 있었지 나에게 기억나는 것은 커피 한모금의 수줍던 이야기 까만밤 아주 까만밤 너와 내가 사랑했던 아름다운 밤 오랜 친구 같아 한없이 행복해 너와 함께한 시간속에서 아픔은 사라지고 나의 마음이 포근해지네 그대와 나 슬픈얘기도 많았지 그대가 또 내가 서로에게 바라던 수많은 이야기 많은 사연들 이제 아무것도 아닌것을 알게됐어 아주 오랜 시간을 우리 함께 보냈지 작은 시련도 이제 다 지나가고 흐르는 노래 함께 들으며 너는 내맘속에 오랫동안 남겠지 오랜 친구 같아 눈물이 흐르네 너와 함께한 시간속에서 아픔은 사라지고 나의 마음이 포근해지네 이렇게 까만밤에 너와 함께한 까만밤 너에게 무슨말을 하고싶어 내맘은 내맘은 그댈 아	['어두운', '잔잔한']
19921100	노이즈	너에게 원한건	댄스	오늘도 우린 함께 했지 흠 난 또 한 번 느꼈어 너도 날 사랑하고 있다는 걸 항상 난 너만을 이해하려고 하지만 너는 언제나 너의 뜻대로만 움직였지 너에게 원한 건 너에게 원한 건 어려운 고백은 아냐 아니야 날 사랑하는 것만큼 표현해주는 것 내가 느낄 수 있도록 연 주 중 너는 진실한 마음을 깊이 감추고 그냥 장난스런 겉모습으로 날 대하지만 난 아무 상관 없어 그렇게 날 대하는 너 또한 어색한 걸 난 알 수 있어 너에게 원한 건 너에게 원한 건 어려운 부탁은 아냐 아니야 서로 관심을 조금씩만 가져주는 것 서로 느낄 수 있도록 오늘도 우린 함께 했지 흠 난 또 한 번 느꼈어 너도 날 사랑하고 있다는 걸 이젠 내게서 달아나려고 하지마 너의 맘을 내게 모두 다 들켜버렸으니까 너에게 원한 건 너에게 원한 건 어려운 고백은 아냐 아니야 날 사랑하는 것만큼 표현해주는 것 너에게 원한 건 너에게 원한 건 어려운 부탁은 아냐 아니야 서로 관심을 조금씩만 가져주는 것 서로 느낄 수 있도록	['원하는', '신나는']
