artist	title	genre
잼	난 멈추지 않는다	댄스
잼	우리 모두 사랑하자	댄스
잼	이유	발라드
잼	18번가의 비밀	댄스
잼	요즘 친구들	댄스
잼	싫증	댄스
서태지와 아이들	난 알아요	댄스
서태지와 아이들	이밤이 깊어가지만	발라드
서태지와 아이들	너와 함께한 시간속에서	발라드
노이즈	너에게 원한건	댄스
노이즈	변명	댄스
듀스	나를 돌아봐	랩/힙합
서태지와 아이들	하여가(何如歌)	댄스
서태지와 아이들	마지막 축제	댄스
서태지와 아이들	너에게	발라드
잼	어색한 느낌	댄스
잼	잼 (Zam) 우리는	댄스
듀스	우리는	랩/힙합
노이즈	내가 널 닮아갈 때	댄스
노이즈	우리가 빛이 될 수 있다면	발라드
룰라	100일(日)째 만남	댄스
서태지와 아이들	교실 이데아	록/메탈
서태지와 아이들	널 지우려 해	록/메탈
서태지와 아이들	발해를 꿈꾸며	록/메탈
듀스	여름 안에서	랩/힙합
더 블루	친구를 위해	발라드
더 블루	나의 곁엔 언제나	록/메탈
더 블루	Endless Love	발라드
더 블루	나의 파라다이스	록/메탈
더 블루	너를 사랑해	발라드
더 블루	X-클럽	댄스
더 블루	나의 곁엔 언제나 (Club Ver.)	댄스
더 블루	그날 이후	발라드
더 블루	다시 만날 때까지 (Goodbye Friend)	발라드
룰라	날개 잃은 천사	댄스
룰라	천상유애(天上有愛)	댄스
룰라	프로와 아마츄어	댄스
룰라	사랑법	댄스
R.ef	이별 공식	댄스
R.ef	상심	댄스
R.ef	고요속의 외침	댄스
R.ef	상심 (Remix)	댄스
솔리드	이 밤의 끝을 잡고	R&B/Soul
솔리드	나만의 친구	R&B/Soul
솔리드	잠든 널 포켓속에	댄스, R&B/Soul
솔리드	아끼지 못했던 사랑	R&B/Soul
노이즈	상상속의 너	댄스
노이즈	어제와 다른 오늘	댄스
노이즈	체념	댄스
노이즈	소유할 수 없는 너	댄스
듀스	굴레를 벗어나 (Mo Funk Ver.)	댄스
듀스	너에게만	랩/힙합
터보	나 어릴 적 꿈	댄스
터보	검은 고양이 네로	댄스
터보	선택	댄스
쿨 (COOL)	슬퍼지려 하기 전에	댄스
쿨 (COOL)	작은 기다림	댄스
서태지와 아이들	Come Back Home	댄스
노이즈	착각	댄스
노이즈	홀로서기	댄스
노이즈	이젠	댄스
잼	나만의 이유	댄스
잼	이유	발라드
잼	너를 위해	댄스
잼	동화속의 나라	댄스
잼	마지막 숨결	발라드
잼	만난지 3년	댄스
잼	어긋난 선택	댄스
솔리드	천생연분	댄스, R&B/Soul
솔리드	넌 나의 처음이자 마지막이야!	R&B/Soul
솔리드	해피엔딩	R&B/Soul
듀스	여름안에서	랩/힙합
듀스	나를 돌아봐	랩/힙합
듀스	굴레를 벗어나	랩/힙합
듀스	사랑, 두려움	랩/힙합
듀스	우리는	랩/힙합
듀스	상처	랩/힙합
듀스	떠나버려	랩/힙합
