release	artist	title	genre	lyric	thema
20000112	밀크	Wait For Me	댄스	하얀눈처럼 맑은그대두눈을 난 바라볼수가없어요 하지만 그댈 싫어하는건 정말 아니예요 믿어줘요 하얗게 변해가는 하늘이 내게 말해주고 있죠 온세상이 하얗게변해버린 날 그때까지 기다려줘요 say I need you wait for me 나의사랑이 그대에게 말하고 있죠 하얀 내맘속에 그려지는 모든게 아직은 너무 낯설은걸요 so wait for me 거짓말처럼 나 그대의 사랑이 조금씩 느껴지는걸요 하지만 나 아직 그대에게 내맘 보여줄수 없는걸요 너무 조급해 하지말아요 어린아이 사랑 처럼 하얀 눈오는 그날 나 그대에게 내마음을 고백하고 싶어 say I need you wait for me 나의 사랑이 그대에게 말하고있죠 하얀 내맘속에 그려지는 모든게 아직은 너무 낯설은걸요 so wait for me 난 너무 낯설은걸요 so wait for me In Christmas 하얗게 변한 온세상과 나의 작은 소망 따스한 나의 그대와 영원히 say I need you wait for me 나의사랑이 그대에게 말하고있죠 하얀 내맘속에 그려지는 모든게 아직은 너무 낯설은걸요 so wait for me	['pop', '설레는', '신나는']
20000205	쥬얼리	달콤한 상상	발라드, 댄스	사실 기다리고 있었어 날 좋아한다는 너의 고백은 일부러 튕겼었지만 그건 나의 진심이 아니었는걸 혹시 포기하면 어떡해 얼마나 가슴 졸였는줄 넌 아니 원래 여자란 다그래 좋아하면서도 아닌척 행동해 사실 항상 니곁에 함께 있는 생각을 그댄보곤 했어 이미 우린 연인이 되있는걸 내마음에 너란 아이 이제는 니가 원하는건 모두 할게 나의 주인이 되버린 너에게 감추려 하지 않을게 나 뭐든지 다할수 있어 영원히 나만 사랑해 줄수 있겠니 그것 하나만 너에게 바랄게 언제나 밝은 모습으로 항상 날 바라봐 주기를 바래 많은 밤을 니생각에 지새며 아침을 맞이한적도 많았어 어쩜 말은 안했지만 내가 더 좋아하고 있었나봐 이제는 니가 원하는건 모두 할게 나의 주인이 되버린 너에게 감추려 하지 않을게 나 뭐든지 다할수 있어 영원히 나만 사랑해 줄수 있겠니 그것 하나만 너에게 바랄게 언제나 밝은 모습으로 항상 날 바라봐주기를 바래	['원하는', '신나는']
20000205	쥬얼리	하늘같은 사랑	발라드, 댄스	그대 꼭 돌아오지 않죠 그래요 말뿐이였다는 거죠 오직 한사람이길 바랬었던 그대 손에 이끌려 오게된 사랑 바람이 불어와 다시 이른 아침부터 숨소리 가득히 널 맞이 할께요 오 그댈 추억하느라고 밤하늘에 별빛들도 나의 빰에 녹아내려 눈물이 되고말죠 하늘같은 사랑 내게 주시려고 했던가요 그대 입김만으로도 한없이 포근한 사랑이 그 고운 눈빛과 여린 내 사랑 가득 손이 따뜻한 햇살처럼 다가와 안녕 그리워하는가요 그래요 아른거리는 눈빛도 처음 눈부시도록 아름다운 내게 건냈던 작은 마음까지도 하늘도 그 고운 손에 담아주던 사랑 그대가 한없죠 oh i belong to you 그댈 추억하느라고 밤하늘에 별빛들도 나의 뺨에 녹아내려 눈물이 되고 말죠 하늘같은 사랑 내게 주시려고 했던가요 그대 입김만으로도 한없이 포근한 사랑이 그댈 추억하느라고 밤하늘에 별빛들도 나의 뺨에 녹아내려 눈물이 되고 말죠 하늘같은 사랑 내게 주시려고 했던가요 그대 입김만으로도 한없이 포근한 사랑이 그댈 추억하느라고	['pop', '신나는']
20000302	샤크라	Why	발라드	"hey girl you thought I loved you thought could be but it was ""nt"" ment to you and me 너의 사랑을 무참히 짓밟았던 my feer my anger it ca ""nt"" be done how I think about you 나의 사랑 난 더이상 brought you 나의 가슴속에 남아있는 걸 원해 하룻밤을 세웠어 너와의 정리해야할 생각에 잘못한건 없었어 그저 그러자고 하니 그래야 했어 난 오늘 이렇게 울어야하고 또 떠나보내야하고 너 헤어지자며 슬퍼했는지 아무렇지도 않는지 니가 가는 그대로 널 보내줘야지 처음 만났을 때처럼 웃으며 눈물까지 보이지 말아야해 난 혼자였으니 왜 나를 좋아했었어 아니 사랑했었어 하늘아래 영원할수 있다고 했어 이제는 없어 찾아볼 수 없었어 떠나간 너의 뒤엔 내 사랑은 죽었어 그 자리에 서있어 내 영혼과 마음 사랑 까지도 돌아보길 바라며 내 마음속 변화속에 너를 빌면서 난 오늘 이렇게 울어야하고 또 떠나보내야하고 너 헤어지자며 슬퍼했는지 아무렇지도 않는지 니가 가는 그대로 널 보내줘야지 처음 만났을때 처럼 웃으며 눈물까지 보이지 말아야해 난 혼자였으니 왜 나를 좋아했었어 아니 사랑했었어 하늘아래 영원할수 있다고 했어 이제는 없어 찾아볼 수 없었어 떠나간 너의 뒤엔 내 사랑은 죽었어 girl I guess this is the way it ends you and me Never ment to be so I say goodbye"	['잔잔한', '원하는', '이별']
20000302	샤크라	결심	발라드	아직 어리다고 나무래도 때묻지 않은 내가 본 그대 치료가 필요 해요 사랑에 존재 가치의 쓸데없이 아직 취기가 남은 채로 내게 말했던 얘기들 나를 편하게 할 것 같은 헤어진 후에 free가 아이 아이라는 이유로 널 떠나기엔 너무 이상해 아이 아름다운 내 모습이 진하게 바뀌어가는가 넌 모르겠지 이런 모습을 이런 모습을 원하니 이런 모습에 사랑 할 수 있는 추한 여자를 원하지 그래 내가 변하기로 떠나기로 그댈 잊어 버리기로 널 갖고 나가 보기로 결심했어 아이 아이라는 이유로 널 떠나기엔 너무 이상해 아이 아름다운 내 모습이 진하게 바뀌어가는가 이런 모습을 이런 모습을 원했니 변한 모습에 사랑 할 수 있어 추해진 나를 원해줘 거울 앞에선 내 모습에 익숙치 못해서인지 자꾸 눈물이 나오려해 나도 날 모르기에 짧아진 치마 빨간 립스틱 풀어 해쳐진 머리도 길어진 손톱 길어진 하이힐 매일 취기에 살아 어지러워진 내 생활에 어지러워진 사랑에 거울에 비친 내 모습을 가리고 버리고 싶은 마음에 이런 모습에 이 느낌이 떠나간 니가 나에게 주고 간 슬픔 간직하며 매일 하나씩 결심해	['추임새많은', '잔잔한', '원하는']
20000302	샤크라	이별징후	발라드	"정말 괜찮은 너였지 모두가 우러러 보았지 사랑까진 멋있었지 내 맘을 녹여버렸지 하지만 나로 부족했니 너에게 친구가 필요했니 너와의 영원한 사랑은 나만의 사랑인거였니 그렇게 떠나니 이젠 없는 거니 아무런 슬픔 없이 떠나버리니 나뿐이 아니면 나만이 아니면 차라리 헤어져 더 가기전에 hey baby do you like my stlye or do I make it right I think about you every night and day I just could ""nt"" stop our love ""s"" going right is me and you still tight """" I ca ""nt"" figure out why our does ""nt"" gappen 헤어지자고 한건 나지만 헤어지게끔 만든건 너라며 자꾸 복잡해지는 나 나만 이럴까 너도 그럴까 니가 젤 싫어하는 모습으로 너앞에 나타나 변한 모습을 보일까 니가 제일 좋아하는것 니가 젤 싫어하는 것들 매일 생각에 사무쳐 니 생각에 하루가 가 사랑한다고 하기 싫어 이별징후라고 생각할래 도대체 니가 뭐라고 날 괴롭혀 너무 힘들어 그렇게 떠나니 이젠 없는거니 아무런 슬픔없이 떠나 버리니 나뿐이 아니면 나만이 아니면 차라리 헤어져 더 가기전에 하루에 반이 너였는데 너 없는 하루 너무 힘들어 세상 모든게 너로보여 다시 올수없니 hu hu hu all I want it is you all you want it is me I will not be the one to kiss you all night long all I want it is you all you want it is me you will see I promise I ""ll"" be the one"	['파워풀한', '댄스', '어두운', '원하는', '신나는']
20000302	샤크라	기원	발라드	아무리 모른채 지내봐도 너무도 떨려 그럴 수 없어 넌 날 찾으러 다시 아니 너를 사랑하기 위해 언젠간 네게 말할 염원 염원 지킬 수 없다며 이젠 가슴 안의 소중한 널 묻은채 영원히 안녕이란 비슷한 사랑을 너 찾아보라했지 그 얼마나 널 그리워했는지 내 곁에 누구도 볼 수는 없었어 난 그대의 자리를 나 선택하는 누구에게도 줄 수 없었어 다시 돌아오길 바라며 언젠가 네게 말한 사랑 지켜줘 고마워 이젠 가슴안의 슬픔들을 묻은채 영원히 안녕이란 이별의 눈물을 넌 흘리지 말아줘 그 얼마나 널 그리워했는지 내 곁에 누구도 볼 수는 없었어 난 그대의 자리를 난 선뜻 다른 누구에게도 줄 수 없었어 다시 돌아오길 바라며 떨어져 서로를 미워하는 것보다 더이상은 날 사랑하게 되어줘 조금 더 깊이 치유하며 살아요 사랑의 힘으로 그대가 날 내가 그댈 원한만큼 영원히 그 얼마나 널 그리워했는지 내 곁에 누구도 볼 수는 없었어 난 그대의 자리를 난 선뜻다른 누구에게도 줄 수 없었어 다시 돌아오길 바라며	['신나는']
20000302	샤크라	한 (Come A Come)	댄스	"가라 가라 갇혀 확 갇혀 내 안에 갇혀 확 갇혀 가라 가라 갇혀 확 갇혀 사랑안에 갇혀 확 갇혀 소리 없이 보내리라 말이 없이 보내리라 그리워질 이야기가 소리없이 보내리라 말이 없이 보내리라 그리워질 이야기가 약해지지마 헤어져도 우린 이대로 갈 수 없어 커져가는 응어리를 버려야해 떠나가려 해 나 하나가 네게 있어 뭐가 그리 중요했니 나처럼 전처럼 그렇게 바라봐 알 수 없는 미래보다 지금이 더 좋아보여 잊어버려 나라는 이름을 다시 부르지마 어디서 어떻게든 모른체 지나쳐 다시 날 찾지마 어디서 어떻게든 죽어도 나를 찾지마 come a come come a come 다시 찾아주길 위해서 나는 너의 곁을 떠난다 come a come some a some some a some 결심했다 너를 위해서 나는 너의 곁을 떠난다 some a some so loose I ""ve"" been abused absoulutely make you curse I make you dismiss me dis piss me 이미 마음이 너의 곁을 떠난다 소리 없이 보내리라 말이 없이 보내리라 그리워질 이야기가 저 하늘을 바라보는 나날들이 늘어가도 나처럼 전처럼 행복해져야 해 내 곁에서 아주 멀리 떠나가줘 너를 잊게 목소리라도 들을 수 없게 다시 부르지마 어디서 어떻게든 모른체 지나쳐 다시 날 찾지마 어디서 어떻게든 죽어도 나를 찾지마 행복하게 살아야해 그 하나면 돼 나에겐 다시 부르지마 어디서 어떻게든 모른체 지나쳐 다시 날 찾지마 어디서 어떻게든 죽어도 나를 찾지마 가라 가라 갇혀 확 갇혀 내 안에 갇혀 확 갇혀 가라 가라 갇혀 확 갇혀 사랑안에 갇혀 확 갇혀"	['추임새많은', '설레는', '신나는']
20000302	샤크라	사랑징후	댄스	사랑은 이미 시작됐어 조금씩 다가가 저 찬란한 사랑이여 우리에게 one two three 사랑하는데 필요조건을 그대를 통해 만나게 되고 four five six 사랑을 하고 오게 되는 아픔을 그댈 통해 겪게 되고 seven eight nine 사랑을 하면서 이별의 두려움에 그댈 한번 더 보고 ten ten ten ten 그대를 사랑하게 되고 원 위치를 해 놓을수가 없다면 이대로 나만을 사랑해줘 너와 내가 영원한 사랑으로 사귄지 너무도 오래잖아 one more time one more time 외치며 널 위해 날 위해 보낼 날들 숨 막히는 세상안에 아름답게 피어난 우리의 사랑이여 forever 사랑해 줄게 forever 믿을게 너만을 forever 처음처럼 아름답게 사랑해 forever with you 사랑은 이미 시작됐어 조금씩 다가가 저 찬란한 사랑이여 우리에게 더는 이치에 맞게 살지 않아도 돼 이제는 사랑의 힘으로 살아가도 돼 나는 있는 그대로 보낸다 너는 마음이 아파지는건 사랑을 하고서 말이다 세상을 안 것도 널 첨 본 그 날이다 내가 작고 있는 모든 것 이제 다 하나로 사랑으로 시작한다 우리가 사랑하고 더 꼬이는 내 생활의 변화가 너무도 힘들어도 너를 보고 다 풀리는 사랑의 힘 있기에 이것이 사랑 징후 forever 사랑해줄게 forever 믿을게 너만을 forever 처음처럼 아름답게 사랑해 forever with you 사랑은 이미 시작됐어 조금씩 다가가 저 찬란한 사랑이여 영원한 사랑으로 널 기억되도록 서로 사랑해 아름답게 가야해 저 끝까지 사랑은 이미 시작됐어 조금씩 다가가 저 찬란한 사랑이여 영원한 사랑으로 널 기억되도록 서로 사랑해 아름답게 가야해 저 끝까지	['신나는', 'pop', '이별']
20000302	샤크라	Make A Love	댄스	"I know there ""s"" sometime to say goodbye make a love 들리니 사랑의 소리가 한아름 꽃으로 펼쳐질 세상처럼 보이니 너 보이니 사랑의 세상이 화려한 하늘 빛처럼 아름답게 밀려와 make a love 너 혼자가 된다면 새로운 사랑을 느껴봐 make a love 너 어제의 아픔을 눈감고 다시 되새겨봐 넌 모든지 너무 쉽게 날 생각을 했었어 내 최고의 사랑으로만 대해주기를 바래 이제야 알아 사랑이란 다 서로 이해야 해 시작이야 오늘부터 난 사랑의 시작이야 다음 세상에서 만나도 날 사랑하고 싶게 모든 걸 너에게 주겠어 미래의 신부를 꿈꾸면서 리멤버 사랑은 배려 사랑은 행복 사랑은 순수 사랑은 너와 나 사랑은 느낌 사랑은 희생 사랑은 바보의 아름다운 소리 넓디 넓은 세상에 그대가 나에게 오게해준 저 하늘에게 감사해 make a love 너만을 사랑해줄 진실한 사랑을 찾았어 make a love 너만을 사랑할래 어제도 오늘도 미래도 넌 모든지 너무 쉽게 날 생각을 했었어 내 최고의 사랑으로만 대해주기를 바래 이제야 알아 사랑이란 다 서로 이해해야 해 시작이야 오늘부터 난 사랑의 시작이야"	['추임새많은', '원하는', '신나는']
