singer	title	cluster
잼	난 멈추지 않는다	0
잼	우리 모두 사랑하자	2
잼	이유	3
잼	18번가의 비밀	3
잼	요즘 친구들	4
잼	싫증	4
서태지와 아이들	난 알아요	0
서태지와 아이들	이밤이 깊어가지만	0
서태지와 아이들	너와 함께한 시간속에서	0
노이즈	너에게 원한건	4
노이즈	변명	0
듀스	나를 돌아봐	3
서태지와 아이들	하여가(何如歌)	3
서태지와 아이들	마지막 축제	0
서태지와 아이들	너에게	3
잼	어색한 느낌	4
잼	잼 (Zam) 우리는	3
듀스	우리는	3
노이즈	내가 널 닮아갈 때	3
노이즈	우리가 빛이 될 수 있다면	3
룰라	100일(日)째 만남	4
서태지와 아이들	교실 이데아	4
서태지와 아이들	널 지우려 해	0
서태지와 아이들	발해를 꿈꾸며	3
듀스	여름 안에서	3
더 블루	친구를 위해	0
더 블루	나의 곁엔 언제나	3
더 블루	Endless Love	0
더 블루	나의 파라다이스	3
더 블루	너를 사랑해	0
더 블루	X-클럽	0
더 블루	나의 곁엔 언제나 (Club Ver.)	3
더 블루	그날 이후	0
더 블루	다시 만날 때까지 (Goodbye Friend)	3
룰라	날개 잃은 천사	4
룰라	천상유애(天上有愛)	2
룰라	프로와 아마츄어	2
룰라	사랑법	2
R.ef	이별 공식	0
R.ef	상심	2
R.ef	고요속의 외침	4
R.ef	상심 (Remix)	2
솔리드	이 밤의 끝을 잡고	2
솔리드	나만의 친구	3
솔리드	잠든 널 포켓속에	4
솔리드	아끼지 못했던 사랑	0
노이즈	상상속의 너	3
노이즈	어제와 다른 오늘	3
노이즈	체념	2
노이즈	소유할 수 없는 너	2
듀스	굴레를 벗어나 (Mo Funk Ver.)	2
듀스	너에게만	0
터보	나 어릴 적 꿈	4
터보	검은 고양이 네로	4
터보	선택	4
쿨 (COOL)	슬퍼지려 하기 전에	2
쿨 (COOL)	작은 기다림	0
서태지와 아이들	Come Back Home	3
노이즈	착각	4
노이즈	홀로서기	0
노이즈	이젠	0
잼	나만의 이유	0
잼	이유	3
잼	너를 위해	0
잼	동화속의 나라	3
잼	마지막 숨결	0
잼	만난지 3년	4
잼	어긋난 선택	2
솔리드	천생연분	4
솔리드	넌 나의 처음이자 마지막이야!	3
솔리드	해피엔딩	0
듀스	여름안에서	2
듀스	나를 돌아봐	3
듀스	굴레를 벗어나	2
듀스	사랑, 두려움	2
듀스	우리는	3
듀스	상처	4
듀스	떠나버려	2
듀스	약한 남자	0
듀스	Go!Go!Go!	3
태사자	Memory	0
서태지와 아이들	너에게	3
서태지와 아이들	하여가	3
서태지와 아이들	환상속의 그대	3
서태지와 아이들	우리들만의 추억	3
R.ef	찬란한 사랑 (상심II)	2
R.ef	마음속을 걸어가	3
R.ef	Jazz	4
R.ef	니가 뭔데	0
서태지와 아이들	시대유감(時代遺憾)	3
터보	Love Is... (3+3=0)	2
터보	Twist King	3
터보	어느 째즈바	0
터보	생일 축하곡 (Acid House Remix)	4
터보	상처	2
R.ef	가을의 기억 (Memories In Fall)	0
R.ef	마음속을 걸어가 (Jungle Ver.)	3
언타이틀	책임져	4
H.O.T.	전사의후예(폭력시대)	3
H.O.T.	캔디	3
솔리드	이 밤의 끝을 잡고	3
노이즈	성형미인	4
노이즈	착각 (Remix)	4
Hamohamo	빠삐용 (그의 두통은 자유였다)	4
Hamohamo	True Love	0
Hamohamo	히든 카드	4
Hamohamo	세상에 던지는 한마디	1
Hamohamo	Pang Pang (나보다 나은 너)	0
아이돌	환상체험	3
아이돌	이럴수가	4
아이돌	Bow Wow	4
아이돌	삼인사각	4
구피	많이많이	2
쿨 (COOL)	운명	4
쿨 (COOL)	루시퍼의 변명	4
룰라	연인	4
터보	회상 (December)	0
터보	Good Bye Yesterday	1
터보	금지된 장난	2
R.ef	심연(深淵)	0
R.ef	후애	2
언타이틀	날개	3
룰라	3!4!	3
룰라	비밀은 없어	0
룰라	100일째 만남	3
룰라	날개 잃은 천사	4
솔리드	끝이 아니기를	0
젝스키스	사나이 가는 길(폼생폼사)	0
쿨 (COOL)	해변의 여인	0
쿨 (COOL)	송인(送人)	0
T.N.B	비키니-Ⅰ	4
T.N.B	노코멘트 (No Comment)	0
H.O.T.	행복	0
H.O.T.	We are the future	3
구피	비련	0
엔알지	할수있어	2
에스이에스	I'm Your girl	3
에스이에스	Oh, My Love	2
태사자	도	2
태사자	Time	0
엔알지	사랑만들기	2
쿨 (COOL)	또자-쿨쿨	4
이글 파이브	오징어 외계인	4
이글 파이브	궤도	3
이글 파이브	우리들의 천국	3
이글 파이브	어른들의 동화	0
이글 파이브	두번째 만남	0
이글 파이브	지난날 (회상)	0
이글 파이브	내안의 너	3
이글 파이브	따라하기	4
이글 파이브	비상	3
이글 파이브	Dear Friend	3
핑클 (Fin.K.L)	Blue Rain	0
핑클 (Fin.K.L)	루비(淚悲):슬픈 눈물	4
R.ef	귀머거리 하늘	0
R.ef	Never Ending Story	2
R.ef	하늘을 걸고	2
신화	으샤! 으샤!	4
신화	해결사	0
T.N.B	아름다운 이별 Part 1	0
T.N.B	남자가 여자를 사랑할때	2
T.N.B	진달래꽃	3
T.N.B	너와 함께 할꺼야	2
T.N.B	단심가	2
T.N.B	좋은 세상 만들기 (하나)	3
T.N.B	영화같은 이별	0
젝스키스	Road Fighter	4
베이비복스	야야야	4
베이비복스	Change	4
H.O.T.	빛	3
젝스키스	커플	3
원타임	1tym	3
원타임	Falling In Love	2
원타임	Good Love	2
원타임	뭘 위한 세상인가	3
터보	애인이 생겼어요	0
터보	X (The Greatest Love)	2
터보	White Love (스키장에서)	4
에스이에스	Dreams Come True	2
에스이에스	너를 사랑해	2
Circle	Sweetest Love	2
Circle	프로포즈	2
Circle	"Welcome To The ""Circle Asia"""	3
Circle	졸업(卒業)	0
Circle	To My Dream	3
Circle	여행	4
Circle	Go! Go! Go!	4
R.ef	상심(Ballad Ver.)	2
쿨 (COOL)	애상	2
쿨 (COOL)	미절 (Misery)	4
god	어머님께	4
god	관찰	4
코요태	만남	3
룰라	기도 (Good)	2
룰라	Moving	0
언타이틀	댄스! 댄스! 댄스!	3
언타이틀	하얀 사랑	2
언타이틀	낮과 밤	4
이글 파이브	Fire	0
이글 파이브	우리들의 천국 (Remix)	3
이글 파이브	Game over	0
이글 파이브	내 맘속에	2
이글 파이브	Fantasia	0
이글 파이브	TV 속의 이별	2
이글 파이브	몽중인	0
이글 파이브	뭐니	0
신화	T.O.P. (Twinkling Of Paradise)	0
신화	Yo! (악동보고서)	4
핑클 (Fin.K.L)	영원한 사랑	2
핑클 (Fin.K.L)	자존심	4
핑클 (Fin.K.L)	Waiting For You	2
Y2K	헤어진 후에	0
Y2K	깊은 슬픔	0
Y2K	비련	4
Y2K	부탁이야	3
클레오	Good Time	4
클레오	니가 나를 꼭 사랑할때만	4
클레오	연인	2
티티마	Prism	2
티티마	My Baby	0
티티마	My Baby	4
티티마	Smile Again	0
티티마	Loner	0
티티마	Come To Me	0
티티마	A+ (A Plus)	2
티티마	Heaven	0
티티마	Loving	4
솔리드	이 밤의 끝을 잡고	2
솔리드	천생연분	4
솔리드	이제 그만 화 풀어요	4
태사자	Magic	3
태사자	Vanessa	3
오피피에이	그대야 미안해	0
오피피에이	와요와요	2
베이비복스	Killer	4
클릭비 (Click-B)	Dreamming	2
클릭비 (Click-B)	잊혀진 사랑	2
젝스키스	Com' Back	4
H.O.T.	아이야!	3
핑클 (Fin.K.L)	루비	4
에스이에스	Twillight Zone	0
에스이에스	Love	3
코요태	실연	2
god	사랑해 그리고 기억해	2
god	애수(哀愁)	2
god	Friday Night	4
핑클 (Fin.K.L)	화이트 (White)	3
핑클 (Fin.K.L)	나의 왕자님께 (To My Prince)	3
핑클 (Fin.K.L)	가면의 시간	4
밀크	Wait For Me	2
쥬얼리	달콤한 상상	3
쥬얼리	하늘같은 사랑	2
샤크라	Why	2
샤크라	결심	4
샤크라	이별징후	2
샤크라	기원	2
샤크라	한 (Come A Come)	0
샤크라	사랑징후	2
샤크라	Make A Love	2
샤크라	Fantasy	2
샤크라	Champion	4
샤크라	Hey U	2
엑스라지	미안해	2
엑스라지	슬픈 약속	0
엑스라지	Deep Down	2
엑스라지	Window Pain	0
엑스라지	No Time To Lose	3
엑스라지	Why	3
엑스라지	Rose	4
엑스라지	You	2
엑스라지	막상막하	4
엑스라지	인연	2
엑스라지	Sexy Lady	4
에스지	Birthday Kiss	0
에스지	몽유애	0
에스지	Love Letter	2
에스지	그대가	2
에스지	My Love Song	2
에스지	White	2
에스지	내가 꿈꾸는 세계	3
에스지	누구야 (Original Ver.)	2
에스지	Chaos	4
에스지	쉿 (Original Ver.)	4
에스지	누구야 (World Mix)	2
에스지	Eraser = Born To Kill (Club Ver.)	0
에스지	쉿 (Zipecher Mix)	4
에스지	누구야 (Who Mix)	2
에스지	Outro (슬픈 눈)	4
샤크라	Hey U	2
샤크라	한	0
파파야	배려	0
파파야	있을 때 잘하기	0
파파야	탐	4
파파야	Smile Smile	3
파파야	내 얘길 들어봐	3
파파야	꼭 약속해	4
파파야	Special	4
파파야	바람끼	4
파파야	가면	0
파파야	있을 때 잘하기	0
파파야	Special (Remix)	4
샤모니	바리향	0
샤모니	성실	0
샤모니	기원	0
쥬얼리	몽	2
샤크라	Lonely Christmas	0
샤크라	Christmas 시리즈	4
샤크라	Amazing Grace	2
샤크라	석별의 정	0
샤크라	상제리제에 내린 축복	4
샤크라	루돌프 사슴코	4
샤크라	고요한 밤	4
샤크라	Santa Claus Is Coming To Town	4
샤크라	Chakra X-Mas	0
샤크라	Feliz Navida	4
샤크라	뒷북치는 소년	2
샤크라	Hey U!	2
보이 클럽	Always	1
보이 클럽	다시	0
샤크라	그대라면... (빌어요)	4
샤크라	우리들의 이야기	4
샤크라	끝 (End)	2
샤크라	아니야	2
샤크라	사랑이여 (베사메무초)	2
샤크라	용 기	4
샤크라	Dance Queen	3
샤크라	내 느낌!	2
샤크라	한 번만 더	2
샤크라	Oh! My Boy	2
샤크라	주연은 너와 나	2
쥬얼리	이젠	2
쥬얼리	소나기	2
쥬얼리	하늘같은 사랑	2
쥬얼리	사랑해	2
쥬얼리	달콤한 상상	3
쥬얼리	작은 바램	2
쥬얼리	Say	2
쥬얼리	Heart	0
쥬얼리	Say Yes	4
쥬얼리	Forever	0
쥬얼리	날 믿어요	3
쥬얼리	Happy End	3
디베이스	사랑한다는 것	2
디베이스	그대로	2
디베이스	모든것을 너에게	3
디베이스	원	3
디베이스	Good Life	3
디베이스	후회	0
디베이스	I`ll Tell U	4
디베이스	상처	4
디베이스	샤인	3
디베이스	Cowboy	3
파파야	이제	0
파파야	사랑의 속삭임	2
파파야	Broken	0
파파야	아찔	0
파파야	사랑만들기	2
파파야	Don`t Move	2
파파야	배반	4
파파야	참	2
파파야	스무살	4
파파야	Passion Of Love	3
파파야	Violet	0
파파야	사랑만들기	2
에스지	Erazer	0
에스지	누구야	2
플래티넘	돌아와줘	0
투야	천사의 눈물	0
투야	I`ll Be There	2
투야	가	0
투야	봐	4
투야	Run Away	2
투야	Touch	2
투야	그렇게 넌	0
투야	Crazy	2
투야	Summer Love	4
투야	Myself	2
투야	한번만	2
케이팝	연인	0
케이팝	그림자	3
케이팝	Game	2
케이팝	0.5	4
케이팝	The Pain	2
케이팝	시나브로	3
케이팝	Comedy	2
케이팝	Smile Again	0
케이팝	Only You	2
케이팝	도플갱어	2
케이팝	소름	0
케이팝	케세라세라	3
케이팝	Love Hacker	2
파파야	Smile Smile	3
보이스코	어떻게	0
보이스코	하루만	0
보이스코	두근두근	4
보이스코	왔어	2
보이스코	깻잎소녀	4
보이스코	Show Me Love	2
보이스코	두근 두근	4
보이스코	하루만 (Remix)	0
JTL	A Better Day	0
JTL	놀아나는 아이들	4
JTL	Just Say Goodbye	0
JTL	Enter The Dragon	3
JTL	Mistake	0
JTL	Really Want U	0
JTL	Hard For Me	4
JTL	From Fan	0
JTL	My Lecon	4
JTL	Bow Wow	3
밀크	Sad Letter	0
밀크	Wish	2
밀크	Crystal	2
밀크	Come To Me	0
밀크	무조건적인 사랑	2
밀크	All My Love For You	2
밀크	I Want You	3
밀크	Secret	4
밀크	Reason	4
밀크	She Never...	4
밀크	Stay With Me	0
밀크	Good Time	3
쥬얼리	하늘같은 사랑	2
블랙 비트	Intro (Can`t You Feel)	4
블랙 비트	The Fan	2
블랙 비트	In The Sky	2
블랙 비트	회상	2
블랙 비트	Y (Tell Me Why)	0
블랙 비트	헤어지기 전	0
블랙 비트	Shine	3
블랙 비트	친구	3
